mtype,entry,value
CP_MSN1,basal_dendrite.orientation.mode,pia_constraint
CP_MSN1,basal_dendrite.orientation.values.form,flat
CP_MSN2,basal_dendrite.orientation.mode,pia_constraint
CP_MSN2,basal_dendrite.orientation.values.form,flat
CP_FS,basal_dendrite.orientation.mode,pia_constraint
CP_FS,basal_dendrite.orientation.values.form,flat
CP_LTS,basal_dendrite.orientation.mode,pia_constraint
CP_LTS,basal_dendrite.orientation.values.form,flat
CP_CTAN,basal_dendrite.orientation.mode,pia_constraint
CP_CTAN,basal_dendrite.orientation.values.form,flat
CP_MSN1,axon.orientation.mode,pia_constraint
CP_MSN1,axon.orientation.values.form,flat
CP_MSN2,axon.orientation.mode,pia_constraint
CP_MSN2,axon.orientation.values.form,flat
CP_FS,axon.orientation.mode,pia_constraint
CP_FS,axon.orientation.values.form,flat
CP_LTS,axon.orientation.mode,pia_constraint
CP_LTS,axon.orientation.values.form,flat
CP_CTAN,axon.orientation.mode,pia_constraint
CP_CTAN,axon.orientation.values.form,flat
